ID,YEAR,INCOM16,CONINC,DEGREE,PADEG,MADEG,SPDEG,MAWRKGRW,FEFAM,FECHLD,CONPRESS,CONJUDGE,CONLEGIS,GOD,HAPPY,NATENVIY,EQWLTH,ABANY,CAPPUN,RES16,NATEDUCY
66,1972,4,33333,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,4,0
142,1972,4,3704,1,9,9,7,0,0,0,0,0,0,0,2,0,0,0,0,3,0
1242,1972,3,60185,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5,0
1456,1972,3,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,6,0
1001,1972,2,3704,0,9,3,7,0,0,0,0,0,0,0,2,0,0,0,0,4,0
711,1972,3,3704,0,1,8,7,0,0,0,0,0,0,0,1,0,0,0,0,4,0
1319,1972,3,33333,9,8,8,7,0,0,0,0,0,0,0,3,0,0,0,0,6,0
300,1972,2,18519,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0
1500,1972,3,3704,0,9,0,7,0,0,0,0,0,0,0,3,0,0,0,0,6,0
849,1972,4,50926,3,4,3,3,0,0,0,0,0,0,0,1,0,0,0,0,5,0
390,1972,3,50926,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
658,1972,3,25926,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,6,0
1301,1972,2,41667,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,5,0
395,1972,2,18519,3,7,0,7,0,0,0,0,0,0,0,3,0,0,0,0,3,0
1544,1972,2,50926,3,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,3,0
1363,1972,2,50926,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0
588,1972,3,50926,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,3,0
771,1972,3,69444,0,3,1,7,0,0,0,0,0,0,0,1,0,0,0,0,5,0
1579,1972,1,25926,0,7,9,7,0,0,0,0,0,0,0,3,0,0,0,0,5,0
1452,1972,3,50926,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,3,0
982,1972,3,18519,0,7,9,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0
170,1972,2,41667,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0
394,1972,2,3704,1,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,6,0
343,1972,1,11111,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0
1361,1972,3,33333,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0
249,1972,2,60185,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0
165,1972,4,33333,4,0,1,7,0,0,0,0,0,0,0,2,0,0,0,0,6,0
840,1972,2,3704,0,9,9,7,0,0,0,0,0,0,0,3,0,0,0,0,4,0
994,1972,3,41667,0,7,1,7,0,0,0,0,0,0,0,1,0,0,0,0,3,0
884,1972,1,18519,1,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,6,0
1096,1972,4,69444,3,4,3,4,0,0,0,0,0,0,0,1,0,0,0,0,5,0
1135,1972,3,25926,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0
1376,1972,3,18519,4,1,1,1,0,0,0,0,0,0,0,3,0,0,0,0,6,0
648,1972,3,18519,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0
335,1972,3,25926,3,8,0,7,0,0,0,0,0,0,0,2,0,0,0,0,3,0
710,1972,4,18519,1,1,2,7,0,0,0,0,0,0,0,2,0,0,0,0,2,0
1229,1972,3,3704,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,2,0
977,1972,4,101852,2,1,1,7,0,0,0,0,0,0,0,2,0,0,0,0,4,0
1568,1972,3,11111,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,3,0
31,1972,3,33333,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0
154,1972,3,33333,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,3,0
1591,1972,3,101852,4,4,1,1,0,0,0,0,0,0,0,2,0,0,0,0,6,0
1433,1972,2,130356,9,9,9,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0
813,1972,3,41667,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0
122,1972,2,33333,0,7,1,9,0,0,0,0,0,0,0,1,0,0,0,0,2,0
890,1972,3,18519,1,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,6,0
824,1972,1,33333,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0
777,1972,1,69444,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0
542,1972,2,25926,1,7,0,7,0,0,0,0,0,0,0,2,0,0,0,0,3,0
1343,1972,3,25926,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,3,0
838,1972,3,11111,0,7,0,7,0,0,0,0,0,0,0,3,0,0,0,0,4,0
779,1972,3,41667,0,8,8,7,0,0,0,0,0,0,0,3,0,0,0,0,4,0
422,1976,3,63848,2,1,1,3,0,0,0,1,1,1,0,2,0,0,0,1,3,0
57,1976,3,15607,0,1,1,1,0,0,0,1,2,3,0,2,0,0,0,1,5,0
1075,1976,3,90726,1,0,0,4,0,0,0,2,2,2,0,1,0,0,0,1,3,0
1271,1976,4,49659,3,1,1,1,0,0,0,1,2,3,0,1,0,0,0,1,4,0
1201,1976,3,15607,1,1,0,1,0,0,0,2,3,3,0,2,0,0,0,1,6,0
411,1976,2,21283,3,0,1,0,0,0,0,2,2,2,0,2,0,0,0,1,2,0
529,1976,3,35471,0,0,8,0,0,0,0,3,2,2,0,3,0,0,0,1,5,0
604,1976,3,35471,0,0,0,0,0,0,0,3,2,2,0,2,0,0,0,1,2,0
511,1976,3,63848,1,1,1,1,0,0,0,2,2,2,0,2,0,0,0,1,4,0
1114,1976,2,90726,3,0,0,4,0,0,0,3,3,3,0,1,0,0,0,2,6,0
64,1976,2,35471,1,7,8,1,0,0,0,2,2,2,0,1,0,0,0,1,1,0
